0%,10%,30%,50%
243.255,244.487,243.808,242.43
244.016,244.345,242.868,241.628
245.225,245.633,241.989,242.941
243.679,243.259,243.526,240.051
242.758,244.881,244.931,242.396
244.079,243.426,244.053,242.118
244.673,243.334,243.73,239.694
244.873,245.127,243.003,242.678
244.968,241.534,241.899,243.938
243.832,244.402,241.609,240.915
243.387,243.767,241.302,240.502
244.278,244.065,242.568,241.005
243.044,244.747,241.062,242.906
245.444,244.96,241.106,242.906
243.214,243.789,244.456,242.956
243.828,243.928,240.765,239.339
243.928,245.063,243.472,241.457
245.499,244.693,240.982,240.528
244.381,244.096,244.183,243.02
242.66,243.732,241.804,243.337
243.907,244.388,243.31,239.131
243.748,244.859,244.611,242.564
242.587,244.012,243.499,243.979
244.189,244.496,242.85,243.448
242.713,241.381,243.573,242.896
243.489,242.848,242.474,241.013
245.228,244.122,241.69,243.949
242.166,244.403,243.577,238.497
243.301,243.829,240.109,241.452
242.712,244.919,241.05,242.685
242.761,240.937,242.403,242.275
244.692,243.982,242.72,241.657
243.097,243.339,244.293,242.283
243.782,244.589,243.414,242.817
243.85,245.73,242.217,242.296
244.992,243.653,243.034,240.511
243.962,243.181,243.675,241.687
244.658,244.452,240.322,243.48
245.295,243.59,244.205,240.317
243.16,243.466,243.065,241.598
242.072,244.369,242.094,242.154
243.118,244.7,243.519,242.597
243.699,245.053,242.498,241.844
244.261,242.808,243.254,241.742
244.19,241.93,242.392,239.015
242.961,244.316,243.028,240.644
244.5,243.521,240.979,244.004
244.088,243.663,242.651,241.839
243.053,244.476,243.737,242.743
243.645,245.144,241.769,239.827
244.365,243.634,243.509,242.583
242.575,242.997,242.298,241.239
243.496,239.6,244.06,242.996
244.054,244.056,242.42,234.763
245.094,243.588,241.748,243.187
244.318,245.137,243.266,241.679
243.42,243.049,244.043,244.285
244.019,243.925,240.878,241.057
244.207,244.471,242.802,243.246
242.779,243.976,244.779,240.571
242.399,243.419,243.202,234.358
243.67,242.791,242.766,244.586
245.129,244.807,244.432,242.324
243.763,244.282,242.334,243.721
243.675,245.26,243.826,241.578
243.056,243.58,243.908,243.723
243.25,244.04,243.905,240.135
242.841,244.076,244.407,243.681
242.413,242.993,243.83,241.826
244.189,243.855,244.554,243.629
243.936,243.875,243.172,239.878
243.827,242.854,242.549,242.053
244.227,244.199,242.535,241.935
244.927,245.002,241.658,242.462
242.479,244.111,243.601,239.965
242.154,243.437,243.221,242.025
244.501,243.29,243.446,241.525
243.93,240.354,244.659,243.569
242.177,243.602,239.789,242.163
240.597,245.008,242.985,242.737
241.95,243.821,243.799,242.18
245.225,244.524,242.947,241.525
244.287,244.149,243.129,242.157
244.248,244.378,241.953,237.179
242.866,244.814,242.241,243.047
242.508,242.898,244.163,239.657
245.018,240.74,245.155,243.205
244.38,245.548,243.903,241.759
244.876,243.945,239.916,242.058
242.291,243.476,242.798,244.44
245.18,241.423,244.558,241.406
244.299,243.959,242.804,240.246
241.74,243.089,244.268,242.098
243.652,243.293,242.31,243.095
243.777,244.035,243.111,242.61
244.207,242.387,243.516,239.826
244.14,243.328,242.04,238.471
242.195,245.151,243.824,238.843
243.402,242.541,243.224,233.574
244.817,242.332,243.802,240.557
